id,customer,product,qty,price,date,email,phone,region
62,Cust37,ProdD,14.0,310.0,2026-05-07,c37@test.com,+100000037,S
63,Cust38,ProdE,15.0,330.0,2026-05-08,c38@test.com,+100000038,E
64,Cust39,ProdA,1.0,350.0,2026-05-09,c39@test.com,+100000039,W
65,Cust40,ProdB,2.0,370.0,2026-05-10,c40@test.com,+100000040,N
66,Cust41,ProdC,3.0,390.0,2026-05-11,c41@test.com,+100000041,S
67,Cust42,ProdD,4.0,410.0,2026-05-12,c42@test.com,+100000042,E
68,Cust43,ProdE,5.0,430.0,2026-05-13,c43@test.com,+100000043,W
69,Cust44,ProdA,6.0,450.0,2026-05-14,c44@test.com,+100000044,N
70,Cust45,ProdB,7.0,470.0,2026-05-15,c45@test.com,+100000045,S
71,Cust46,ProdC,8.0,490.0,2026-05-16,c46@test.com,+100000046,E
72,Cust47,ProdD,9.0,510.0,2026-05-17,c47@test.com,+100000047,W
73,Cust48,ProdE,10.0,530.0,2026-05-18,c48@test.com,+100000048,N
